OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductCategory,SubCategory,Quantity,UnitPrice,Discount,SalesAmount,Profit,PaymentMode,CustomerSegment,SalesRep
ORD-100000,2023-06-02,CUST-5968,Mrs. Natalie Keith,Enugu,South East,PROD-684,Clothing,Men's Wear,8,103615.17,0.06,779186.08,116814.43,Cash,Regular,Christopher
ORD-100001,2023-07-13,CUST-5618,Janet Rios,Kano,North West,PROD-301,Beauty,Haircare,2,136875.75,0.23,210788.65,47257.31,Cash,New,Andrew
ORD-100002,2023-05-25,CUST-5372,Patricia Allen,Kano,North West,PROD-510,Beauty,Haircare,8,59480.3,0.19,385432.34,51834.54,POS,New,Andrew
ORD-100003,2023-06-09,CUST-9889,Taylor Moreno,Lagos,South West,PROD-165,Clothing,Women's Wear,8,82416.65,0.25,494499.9,46045.4,Cash,Regular,Jeffrey
ORD-100004,2024-05-09,CUST-8934,Richard Wilkins,Port Harcourt,South South,PROD-274,Electronics,Phones,8,138668.71,0.09,1009508.21,196943.34,Cash,New,Charles
ORD-100005,2023-01-20,CUST-1702,Amanda Martinez,Kano,North West,PROD-934,Clothing,Women's Wear,5,78083.24,0.17,324045.45,81864.58,Cash,New,Allison
ORD-100006,2023-09-06,CUST-5462,Alexander Moore,Ibadan,South West,PROD-806,Home,Decor,3,113334.68,0.22,265203.15,66380.12,POS,Regular,Donald
ORD-100007,2023-02-26,CUST-8781,Brian Harding,Benin City,South South,PROD-123,Beauty,Skincare,1,6621.03,0.04,6356.19,1321.86,POS,Regular,Scott
ORD-100008,2023-05-07,CUST-5462,Stephen Cobb,Lagos,South West,PROD-205,Home,Decor,2,62343.53,0.22,97255.91,28086.05,POS,New,Jerry
ORD-100009,2023-01-15,CUST-5574,Dominique White,Abeokuta,South West,PROD-799,Electronics,Accessories,2,131716.17,0.24,200208.58,55936.64,Cash,New,Robert
ORD-100010,2024-08-15,CUST-2830,Russell Miller,Abeokuta,South West,PROD-649,Electronics,Laptops,7,29146.19,0.16,171379.6,14295.47,POS,New,Allison
